DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Jul-2026,EQ,"810.00","823.70","808.50","808.30","820.80","819.60","817.91","2,037.70","726.65","1,74,15,322","14,24,41,31,598.80","2,52,225"
16-Jul-2026,EQ,"814.50","818.00","806.50","815.45","808.35","808.30","810.80","2,037.70","726.65","1,86,98,186","15,16,04,91,649.40","1,81,496"
15-Jul-2026,EQ,"811.00","819.70","809.70","809.40","815.00","815.45","815.46","2,037.70","726.65","2,14,88,739","17,52,32,29,835.80","2,50,860"
14-Jul-2026,EQ,"811.40","818.40","807.00","817.95","809.00","809.40","811.90","2,037.70","726.65","2,56,05,395","20,78,91,13,493.00","2,92,714"
13-Jul-2026,EQ,"817.00","821.95","811.00","824.95","817.50","817.95","817.72","2,037.70","726.65","2,17,41,736","17,77,86,97,986.00","2,42,082"
10-Jul-2026,EQ,"824.00","827.70","820.30","817.55","824.50","824.95","824.61","2,037.70","726.65","2,35,95,785","19,45,73,53,746.75","2,96,453"
09-Jul-2026,EQ,"813.00","822.85","812.30","810.30","817.00","817.55","818.64","2,037.70","726.65","3,98,91,798","32,65,68,70,500.60","3,36,701"
08-Jul-2026,EQ,"825.90","834.35","806.95","829.30","809.30","810.30","821.95","2,037.70","726.65","3,87,54,632","31,85,42,45,392.45","3,92,366"
07-Jul-2026,EQ,"843.00","843.00","826.10","829.85","827.50","829.30","834.07","2,037.70","726.65","5,76,11,729","48,05,23,50,466.80","5,00,541"
06-Jul-2026,EQ,"805.00","831.50","805.00","801.05","828.00","829.85","824.42","2,037.70","726.65","6,32,03,327","52,10,59,54,194.00","7,31,245"
03-Jul-2026,EQ,"803.00","807.00","798.55","795.90","801.50","801.05","802.89","2,037.70","726.65","2,58,71,958","20,77,22,33,463.35","2,25,856"
02-Jul-2026,EQ,"795.00","805.45","794.00","796.15","794.95","795.90","798.17","2,037.70","726.65","3,41,43,823","27,25,24,82,310.70","3,67,026"
01-Jul-2026,EQ,"793.50","802.25","793.50","797.95","796.00","796.15","797.89","2,037.70","726.65","2,60,94,378","20,82,04,85,429.50","2,65,057"
30-Jun-2026,EQ,"806.10","806.10","792.75","798.90","800.45","797.95","798.65","2,037.70","726.65","4,57,78,356","36,56,10,96,124.85","5,07,833"
29-Jun-2026,EQ,"800.00","805.90","793.30","796.30","797.05","798.90","799.29","2,037.70","726.65","4,66,95,977","37,32,36,37,057.70","4,21,982"
25-Jun-2026,EQ,"798.50","804.45","794.75","793.20","796.00","796.30","799.35","2,037.70","726.65","4,67,07,966","37,33,61,68,879.30","4,67,329"
24-Jun-2026,EQ,"773.00","794.90","772.65","774.65","792.80","793.20","788.60","2,037.70","726.65","3,47,01,292","27,36,52,90,725.10","3,20,163"
23-Jun-2026,EQ,"783.05","790.90","772.55","786.40","772.60","774.65","781.94","2,037.70","726.65","2,82,89,062","22,12,02,96,631.60","2,73,325"
22-Jun-2026,EQ,"789.90","789.90","783.10","779.80","785.60","786.40","786.71","2,037.70","726.65","2,51,94,765","19,82,08,93,965.30","2,57,091"
19-Jun-2026,EQ,"788.70","789.05","776.20","799.00","781.00","779.80","780.80","2,037.70","726.65","3,37,98,761","26,38,99,48,086.30","3,42,920"
18-Jun-2026,EQ,"786.50","802.95","786.20","787.10","800.80","799.00","797.21","2,037.70","726.65","4,14,92,071","33,07,79,50,871.00","3,86,510"
17-Jun-2026,EQ,"787.65","794.30","783.10","784.90","787.00","787.10","788.39","2,037.70","726.65","3,24,05,604","25,54,83,97,540.45","4,66,023"
16-Jun-2026,EQ,"780.50","787.70","779.45","777.35","784.75","784.90","784.34","2,037.70","726.65","2,78,20,970","21,82,11,64,302.20","3,34,802"
15-Jun-2026,EQ,"790.00","793.50","775.60","772.45","777.45","777.35","783.75","2,037.70","726.65","3,99,90,334","31,34,26,00,344.40","4,10,968"
