DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Jul-2026,EQ,"1,918.00","1,925.20","1,902.70","1,921.80","1,908.00","1,908.80","1,911.98","2,174.50","1,740.50","47,15,613","9,01,61,55,922.80","1,27,073"
16-Jul-2026,EQ,"1,928.00","1,936.00","1,917.00","1,918.30","1,921.00","1,921.80","1,925.92","2,174.50","1,740.50","46,44,787","8,94,55,10,680.30","1,15,838"
15-Jul-2026,EQ,"1,953.70","1,953.70","1,916.60","1,936.50","1,920.00","1,918.30","1,930.71","2,174.50","1,740.50","57,63,065","11,12,68,09,423.00","1,22,179"
14-Jul-2026,EQ,"1,885.00","1,941.10","1,885.00","1,901.80","1,934.00","1,936.50","1,930.80","2,174.50","1,740.50","69,64,062","13,44,61,92,088.70","1,82,694"
13-Jul-2026,EQ,"1,914.00","1,917.00","1,896.70","1,920.40","1,903.60","1,901.80","1,905.41","2,174.50","1,740.50","78,62,506","14,98,12,84,461.00","1,07,576"
10-Jul-2026,EQ,"1,930.00","1,930.00","1,906.00","1,931.10","1,919.00","1,920.40","1,916.53","2,174.50","1,740.50","64,20,887","12,30,58,46,472.40","1,65,672"
09-Jul-2026,EQ,"1,902.00","1,966.00","1,898.80","1,888.10","1,935.10","1,931.10","1,939.14","2,174.50","1,740.50","1,11,45,066","21,61,18,57,969.20","3,59,446"
08-Jul-2026,EQ,"1,911.00","1,924.20","1,875.10","1,925.80","1,885.50","1,888.10","1,898.57","2,174.50","1,740.50","61,88,780","11,74,98,40,325.00","1,52,476"
07-Jul-2026,EQ,"1,923.50","1,956.50","1,917.00","1,925.70","1,922.70","1,925.80","1,934.39","2,174.50","1,740.50","57,67,438","11,15,64,63,291.60","1,93,051"
06-Jul-2026,EQ,"1,916.80","1,932.70","1,915.60","1,910.40","1,927.00","1,925.70","1,924.95","2,174.50","1,740.50","27,40,217","5,27,47,79,529.80","99,399"
03-Jul-2026,EQ,"1,890.00","1,913.00","1,885.00","1,875.00","1,909.00","1,910.40","1,903.54","2,174.50","1,740.50","50,87,043","9,68,33,87,583.90","1,14,107"
02-Jul-2026,EQ,"1,860.80","1,883.80","1,850.20","1,871.00","1,872.90","1,875.00","1,863.80","2,174.50","1,740.50","52,82,404","9,84,53,56,345.30","1,84,214"
01-Jul-2026,EQ,"1,845.60","1,887.00","1,845.60","1,852.00","1,870.00","1,871.00","1,871.36","2,174.50","1,740.50","43,07,333","8,06,05,78,470.20","1,47,905"
30-Jun-2026,EQ,"1,853.00","1,876.60","1,843.20","1,841.10","1,855.00","1,852.00","1,859.54","2,174.50","1,740.50","72,33,634","13,45,12,18,056.10","1,58,915"
29-Jun-2026,EQ,"1,837.10","1,849.80","1,833.10","1,850.70","1,846.00","1,841.10","1,840.55","2,174.50","1,740.50","1,09,40,130","20,13,58,65,263.00","2,13,920"
25-Jun-2026,EQ,"1,885.00","1,889.00","1,848.00","1,877.30","1,849.90","1,850.70","1,861.08","2,174.50","1,740.50","85,21,503","15,85,92,13,698.70","1,71,042"
24-Jun-2026,EQ,"1,891.20","1,894.10","1,872.90","1,901.60","1,874.80","1,877.30","1,883.34","2,174.50","1,740.50","89,57,457","16,86,99,15,025.70","1,28,272"
23-Jun-2026,EQ,"1,907.60","1,927.70","1,896.70","1,916.60","1,899.00","1,901.60","1,910.16","2,174.50","1,740.50","51,55,908","9,84,86,29,239.50","1,09,193"
22-Jun-2026,EQ,"1,915.80","1,924.50","1,901.00","1,910.80","1,916.00","1,916.60","1,916.73","2,174.50","1,740.50","37,98,060","7,27,98,49,609.70","1,29,686"
19-Jun-2026,EQ,"1,874.30","1,917.50","1,867.20","1,874.80","1,906.90","1,910.80","1,905.73","2,174.50","1,740.50","1,59,18,432","30,33,62,72,702.90","1,56,746"
18-Jun-2026,EQ,"1,878.80","1,878.80","1,861.80","1,875.70","1,874.20","1,874.80","1,871.36","2,174.50","1,740.50","42,62,944","7,97,75,07,623.20","1,14,303"
17-Jun-2026,EQ,"1,853.00","1,878.00","1,841.50","1,853.00","1,874.20","1,875.70","1,863.74","2,174.50","1,740.50","76,53,632","14,26,44,06,143.80","1,70,270"
16-Jun-2026,EQ,"1,840.20","1,859.20","1,837.20","1,841.20","1,857.00","1,853.00","1,848.68","2,174.50","1,740.50","59,57,732","11,01,39,44,669.10","1,37,240"
15-Jun-2026,EQ,"1,841.00","1,857.00","1,816.00","1,822.50","1,843.00","1,841.20","1,836.55","2,174.50","1,740.50","53,07,277","9,74,70,86,708.70","1,49,646"
12-Jun-2026,EQ,"1,784.00","1,825.00","1,784.00","1,782.60","1,825.00","1,822.50","1,812.87","2,174.50","1,740.50","59,10,557","10,71,50,77,314.40","1,47,154"
11-Jun-2026,EQ,"1,773.00","1,796.00","1,768.60","1,775.20","1,786.80","1,782.60","1,785.83","2,174.50","1,740.50","50,20,731","8,96,61,68,021.70","1,38,560"
10-Jun-2026,EQ,"1,799.00","1,807.70","1,771.00","1,799.00","1,776.90","1,775.20","1,789.19","2,174.50","1,740.50","79,99,362","14,31,23,46,240.80","2,23,009"
09-Jun-2026,EQ,"1,837.00","1,837.00","1,789.20","1,813.30","1,798.00","1,799.00","1,804.44","2,174.50","1,740.50","1,03,77,475","18,72,55,18,731.70","1,95,166"
08-Jun-2026,EQ,"1,775.10","1,820.10","1,771.00","1,798.20","1,820.10","1,813.30","1,806.05","2,174.50","1,740.50","63,24,919","11,42,31,37,749.70","1,90,172"
05-Jun-2026,EQ,"1,824.90","1,827.80","1,790.70","1,818.90","1,798.00","1,798.20","1,802.56","2,174.50","1,740.50","39,26,715","7,07,81,53,192.70","1,39,936"
04-Jun-2026,EQ,"1,815.00","1,829.80","1,798.40","1,824.10","1,819.90","1,818.90","1,813.64","2,174.50","1,740.50","67,35,759","12,21,62,62,916.20","1,61,398"
03-Jun-2026,EQ,"1,829.90","1,835.50","1,804.90","1,814.20","1,821.00","1,824.10","1,819.25","2,174.50","1,740.50","58,32,363","10,61,05,51,306.90","2,32,306"
02-Jun-2026,EQ,"1,785.00","1,825.00","1,777.40","1,810.60","1,816.00","1,814.20","1,798.19","2,174.50","1,740.50","1,07,91,294","19,40,48,23,451.10","3,62,396"
01-Jun-2026,EQ,"1,830.00","1,842.00","1,803.90","1,829.00","1,807.00","1,810.60","1,815.12","2,174.50","1,740.50","63,91,656","11,60,16,19,064.80","1,42,592"
29-May-2026,EQ,"1,860.00","1,860.00","1,818.50","1,852.20","1,827.00","1,829.00","1,828.37","2,174.50","1,740.50","5,28,86,264","96,69,56,98,670.90","2,68,205"
27-May-2026,EQ,"1,840.40","1,869.40","1,840.40","1,846.90","1,847.40","1,852.20","1,854.29","2,174.50","1,740.50","86,53,155","16,04,54,94,051.60","1,72,541"
26-May-2026,EQ,"1,874.00","1,874.00","1,844.80","1,874.80","1,847.00","1,846.90","1,856.08","2,174.50","1,740.50","58,03,034","10,77,09,19,595.60","1,64,058"
25-May-2026,EQ,"1,892.50","1,892.50","1,863.10","1,871.40","1,879.00","1,874.80","1,874.79","2,174.50","1,740.50","59,03,841","11,06,84,38,246.80","1,29,359"
22-May-2026,EQ,"1,891.30","1,896.60","1,869.30","1,885.30","1,872.70","1,871.40","1,878.27","2,174.50","1,740.50","50,99,120","9,57,75,06,253.50","1,34,446"
21-May-2026,EQ,"1,911.00","1,915.30","1,880.80","1,904.90","1,884.00","1,885.30","1,896.55","2,174.50","1,740.50","64,19,014","12,17,39,49,974.30","1,71,442"
20-May-2026,EQ,"1,914.00","1,914.00","1,897.70","1,913.50","1,908.20","1,904.90","1,905.03","2,174.50","1,740.50","57,78,742","11,00,87,04,118.20","2,28,182"
19-May-2026,EQ,"1,928.40","1,942.00","1,907.80","1,938.10","1,911.00","1,913.50","1,918.68","2,174.50","1,740.50","89,62,228","17,19,56,34,876.80","2,96,119"
18-May-2026,EQ,"1,904.80","1,953.80","1,890.40","1,905.40","1,937.10","1,938.10","1,933.18","2,174.50","1,740.50","1,38,88,648","26,84,93,07,507.60","4,34,681"
15-May-2026,EQ,"1,883.20","1,922.90","1,880.40","1,883.50","1,904.00","1,905.40","1,906.29","2,174.50","1,740.50","1,58,07,294","30,13,33,00,830.20","3,32,449"
14-May-2026,EQ,"1,820.00","1,889.20","1,797.30","1,789.20","1,883.00","1,883.50","1,851.19","2,174.50","1,740.50","2,12,79,151","39,39,17,93,987.30","4,88,475"
13-May-2026,EQ,"1,740.50","1,798.00","1,740.50","1,756.80","1,781.20","1,789.20","1,781.16","2,174.50","1,740.50","98,25,413","17,50,06,62,370.00","1,86,102"
12-May-2026,EQ,"1,751.50","1,776.50","1,751.50","1,759.80","1,762.80","1,756.80","1,764.12","2,174.50","1,746.90","1,19,45,399","21,07,30,63,303.40","2,15,577"
11-May-2026,EQ,"1,814.00","1,819.80","1,756.00","1,834.50","1,764.90","1,759.80","1,770.35","2,174.50","1,746.90","1,58,03,791","27,97,81,81,805.50","4,62,278"
08-May-2026,EQ,"1,820.00","1,840.80","1,815.20","1,826.60","1,834.70","1,834.50","1,830.73","2,174.50","1,746.90","48,39,183","8,85,92,53,117.60","1,84,261"
07-May-2026,EQ,"1,835.00","1,843.90","1,821.20","1,833.70","1,829.60","1,826.60","1,829.48","2,174.50","1,746.90","79,14,845","14,48,00,45,584.00","1,68,703"
06-May-2026,EQ,"1,817.00","1,841.50","1,813.80","1,806.10","1,833.80","1,833.70","1,830.96","2,174.50","1,746.90","55,07,749","10,08,44,52,551.00","1,27,520"
05-May-2026,EQ,"1,828.00","1,846.00","1,801.00","1,827.10","1,816.00","1,806.10","1,815.14","2,174.50","1,746.90","1,14,07,461","20,70,61,42,883.40","2,77,110"
04-May-2026,EQ,"1,873.20","1,895.30","1,821.70","1,886.80","1,828.00","1,827.10","1,848.84","2,174.50","1,746.90","1,07,07,858","19,79,71,11,343.60","3,06,602"
30-Apr-2026,EQ,"1,860.00","1,906.00","1,860.00","1,888.10","1,891.00","1,886.80","1,883.45","2,174.50","1,746.90","1,27,09,188","23,93,71,49,558.50","2,20,364"
29-Apr-2026,EQ,"1,848.00","1,900.40","1,845.40","1,843.80","1,885.80","1,888.10","1,886.50","2,174.50","1,746.90","77,13,013","14,55,06,31,575.00","2,29,274"
28-Apr-2026,EQ,"1,826.00","1,852.00","1,812.60","1,820.10","1,851.00","1,843.80","1,838.21","2,174.50","1,746.90","1,05,58,455","19,40,86,31,111.30","2,26,293"
27-Apr-2026,EQ,"1,816.10","1,828.40","1,814.00","1,814.50","1,816.00","1,820.10","1,821.50","2,174.50","1,746.90","44,13,769","8,03,96,75,875.40","1,40,869"
24-Apr-2026,EQ,"1,845.00","1,850.70","1,807.30","1,841.20","1,818.00","1,814.50","1,817.42","2,174.50","1,746.90","63,06,448","11,46,14,90,981.70","1,70,816"
23-Apr-2026,EQ,"1,821.80","1,846.00","1,812.10","1,829.00","1,841.50","1,841.20","1,835.32","2,174.50","1,746.90","74,89,947","13,74,64,12,171.60","1,64,087"
22-Apr-2026,EQ,"1,850.20","1,857.90","1,825.30","1,855.00","1,831.00","1,829.00","1,837.43","2,174.50","1,746.90","56,87,058","10,44,95,84,640.10","1,60,073"
21-Apr-2026,EQ,"1,830.00","1,868.90","1,830.00","1,846.10","1,858.70","1,855.00","1,859.36","2,174.50","1,746.90","1,04,85,373","19,49,60,86,360.00","2,11,597"
20-Apr-2026,EQ,"1,865.00","1,865.00","1,839.20","1,846.90","1,842.00","1,846.10","1,851.19","2,174.50","1,746.90","92,43,641","17,11,17,50,979.80","2,75,859"
17-Apr-2026,EQ,"1,837.10","1,851.40","1,829.70","1,840.60","1,847.30","1,846.90","1,841.18","2,174.50","1,746.90","73,44,787","13,52,30,92,481.70","1,77,370"
16-Apr-2026,EQ,"1,863.50","1,864.90","1,823.20","1,855.70","1,835.50","1,840.60","1,838.42","2,174.50","1,746.90","1,58,71,247","29,17,80,28,115.80","3,19,479"
15-Apr-2026,EQ,"1,880.50","1,890.90","1,853.60","1,870.90","1,857.50","1,855.70","1,863.81","2,174.50","1,746.90","1,10,49,107","20,59,34,89,320.60","2,30,913"
13-Apr-2026,EQ,"1,838.00","1,893.70","1,838.00","1,870.00","1,866.40","1,870.90","1,872.16","2,174.50","1,746.90","1,03,71,983","19,41,80,62,038.50","2,09,003"
10-Apr-2026,EQ,"1,868.00","1,874.60","1,859.90","1,859.40","1,867.00","1,870.00","1,867.46","2,174.50","1,669.40","58,57,988","10,93,95,85,862.50","2,18,817"
09-Apr-2026,EQ,"1,869.90","1,869.90","1,846.10","1,861.60","1,859.70","1,859.40","1,856.62","2,174.50","1,669.40","1,01,13,053","18,77,61,07,034.10","2,56,054"
08-Apr-2026,EQ,"1,864.00","1,871.50","1,840.20","1,830.30","1,861.00","1,861.60","1,858.28","2,174.50","1,669.40","1,15,87,604","21,53,29,71,581.50","3,01,017"
07-Apr-2026,EQ,"1,788.10","1,840.00","1,772.00","1,792.80","1,831.00","1,830.30","1,816.82","2,174.50","1,669.40","1,00,57,628","18,27,28,83,173.70","1,98,581"
06-Apr-2026,EQ,"1,812.10","1,814.30","1,763.40","1,789.70","1,790.90","1,792.80","1,783.80","2,174.50","1,669.40","81,83,498","14,59,77,63,359.50","2,31,977"
02-Apr-2026,EQ,"1,765.00","1,799.40","1,746.90","1,781.90","1,792.00","1,789.70","1,768.04","2,174.50","1,669.40","1,08,57,093","19,19,57,86,730.20","2,41,026"
01-Apr-2026,EQ,"1,811.00","1,817.30","1,776.50","1,782.40","1,786.70","1,781.90","1,792.26","2,174.50","1,669.40","1,06,94,662","19,16,76,49,291.70","2,80,289"
30-Mar-2026,EQ,"1,818.00","1,824.50","1,774.50","1,843.90","1,789.20","1,782.40","1,790.45","2,174.50","1,669.40","1,42,40,129","25,49,62,61,863.80","2,19,313"
27-Mar-2026,EQ,"1,839.90","1,856.90","1,818.40","1,834.90","1,850.00","1,843.90","1,839.42","2,174.50","1,660.00","2,44,90,425","45,04,82,44,978.50","3,84,542"
25-Mar-2026,EQ,"1,814.00","1,849.20","1,810.10","1,802.10","1,834.00","1,834.90","1,829.51","2,174.50","1,660.00","1,24,73,682","22,82,07,50,844.00","2,65,588"
24-Mar-2026,EQ,"1,816.30","1,826.80","1,781.00","1,795.90","1,812.50","1,802.10","1,801.04","2,174.50","1,660.00","75,35,860","13,57,24,01,488.50","1,78,329"
23-Mar-2026,EQ,"1,827.00","1,830.00","1,792.00","1,846.10","1,803.10","1,795.90","1,801.84","2,174.50","1,660.00","68,74,051","12,38,59,52,606.40","2,46,881"
20-Mar-2026,EQ,"1,834.00","1,860.90","1,834.00","1,827.00","1,844.80","1,846.10","1,848.15","2,174.50","1,612.20","76,91,633","14,21,53,20,146.30","1,39,053"
19-Mar-2026,EQ,"1,826.60","1,861.30","1,816.30","1,855.40","1,835.60","1,827.00","1,837.38","2,174.50","1,612.20","71,45,082","13,12,82,48,532.00","2,15,916"
18-Mar-2026,EQ,"1,826.80","1,869.00","1,826.80","1,827.00","1,855.00","1,855.40","1,856.46","2,174.50","1,612.20","64,28,092","11,93,35,00,968.20","1,76,964"
17-Mar-2026,EQ,"1,797.00","1,834.50","1,791.10","1,788.80","1,823.40","1,827.00","1,822.01","2,174.50","1,612.20","71,81,491","13,08,47,61,934.30","2,62,782"
16-Mar-2026,EQ,"1,798.00","1,804.90","1,770.90","1,803.40","1,790.00","1,788.80","1,787.39","2,174.50","1,612.20","1,42,61,268","25,49,04,20,100.70","3,45,086"
13-Mar-2026,EQ,"1,781.10","1,816.00","1,776.60","1,801.30","1,803.00","1,803.40","1,804.59","2,174.50","1,612.20","89,70,772","16,18,85,49,355.80","2,63,272"
12-Mar-2026,EQ,"1,797.90","1,817.80","1,791.00","1,807.00","1,798.30","1,801.30","1,801.93","2,174.50","1,612.20","1,29,22,735","23,28,59,24,604.30","2,13,083"
11-Mar-2026,EQ,"1,841.00","1,847.70","1,799.50","1,850.40","1,807.00","1,807.00","1,818.78","2,174.50","1,612.20","95,48,404","17,36,64,05,770.80","2,79,483"
10-Mar-2026,EQ,"1,880.80","1,881.00","1,846.50","1,866.70","1,855.70","1,850.40","1,853.07","2,174.50","1,612.20","1,17,41,600","21,75,80,05,040.00","3,37,083"
09-Mar-2026,EQ,"1,831.00","1,872.40","1,818.10","1,870.80","1,866.00","1,866.70","1,853.10","2,174.50","1,612.20","80,73,518","14,96,10,27,031.00","3,70,596"
06-Mar-2026,EQ,"1,900.00","1,902.10","1,867.10","1,907.00","1,873.00","1,870.80","1,882.33","2,174.50","1,568.00","1,08,96,859","20,51,15,35,465.70","2,22,475"
05-Mar-2026,EQ,"1,919.00","1,929.10","1,897.20","1,905.90","1,906.00","1,907.00","1,910.48","2,174.50","1,568.00","1,13,98,717","21,77,70,70,378.90","2,47,714"
04-Mar-2026,EQ,"1,861.10","1,920.00","1,815.30","1,873.20","1,908.50","1,905.90","1,878.13","2,174.50","1,568.00","2,05,65,585","38,62,48,52,239.00","4,25,053"
02-Mar-2026,EQ,"1,850.10","1,895.90","1,847.90","1,879.30","1,872.00","1,873.20","1,875.71","2,174.50","1,568.00","1,17,85,758","22,10,66,68,597.40","3,55,395"
27-Feb-2026,EQ,"1,910.00","1,915.00","1,870.10","1,929.60","1,882.00","1,879.30","1,882.95","2,174.50","1,559.50","1,37,54,648","25,89,93,62,760.70","2,41,307"
26-Feb-2026,EQ,"1,914.00","1,935.00","1,904.50","1,913.40","1,934.00","1,929.60","1,920.91","2,174.50","1,559.50","1,07,95,028","20,73,63,22,162.80","2,40,161"
25-Feb-2026,EQ,"1,955.00","1,961.80","1,904.00","1,941.00","1,916.80","1,913.40","1,925.26","2,174.50","1,559.50","82,85,195","15,95,11,64,616.70","2,04,352"
